α° / 360°,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5
0.1,1.06,1.1,1.13,1.17,1.21,1.25,1.29,1.33,1.37
0.2,1.13,1.21,1.29,1.37,1.46,1.55,1.65,1.76,1.87
0.3,1.21,1.32,1.45,1.6,1.76,1.93,2.13,2.34,2.57
0.4,1.29,1.46,1.65,1.87,2.12,2.41,2.73,3.1,3.51
0.425,1.31,1.49,1.7,1.95,2.23,2.55,2.91,3.33,3.8
0.45,1.33,1.53,1.76,2.03,2.34,2.69,3.1,3.57,4.11
0.475,1.35,1.56,1.82,2.11,2.45,2.84,3.3,3.83,4.45
0.5,1.37,1.6,1.87,2.19,2.57,3.0,3.51,4.11,4.81
0.525,1.39,1.64,1.93,2.28,2.69,3.17,3.74,4.41,5.2
0.55,1.41,1.68,2.0,2.37,2.82,3.35,3.98,4.74,5.63
0.6,1.46,1.76,2.13,2.57,3.1,3.74,4.52,5.45,6.59
0.7,1.55,1.93,2.41,3.0,3.74,4.66,5.81,7.24,9.02
0.8,1.65,2.13,2.73,3.51,4.52,5.81,7.47,9.6,12.35
0.9,1.76,2.34,3.1,4.11,5.45,7.24,9.6,12.74,16.9
1.0,1.87,2.57,3.51,4.81,6.59,9.02,12.35,16.9,23.14
1.5,2.57,4.11,6.59,10.55,16.9,27.08,43.38,69.49,111.32
2.0,3.51,6.59,12.35,23.14,43.38,81.31,152.4,285.68,535.49
2.5,4.81,10.55,23.14,50.75,111.32,244.15,535.49,1174.5,2575.9
3.0,6.59,16.9,43.38,111.32,285.68,733.14,1881.5,4828.5,12391.0
3.5,9.02,27.08,81.31,244.15,733.14,2199.9,6610.7,19851.0,59608.0
4.0,12.35,43.38,152.4,535.49,1881.5,6610.7,23227.0,81610.0,286744.0
